date,codigo,qty,ship_country
2022-06-29,BS001887,2,DK
2022-06-29,BS001879,4,AU
2022-06-29,BS001881,5,DK
2022-06-29,BS001890,2,BR
2022-06-29,BS001885,5,DK
2022-06-29,BS001873,2,BR
2022-06-29,BS001882,3,DK
2022-06-29,BS001888,2,BR
2022-06-29,BS001898,4,DK
2022-06-29,BS001898,2,BR
2022-06-29,BS001874,1,DK
2022-06-29,BS001900,2,BR
2022-06-29,BS001887,2,DK
2022-06-29,BS001891,5,BR
2022-06-29,BS001874,4,DK
2022-06-29,BS001887,3,BR
2022-06-29,BS001883,1,DK
2022-06-29,BS001897,4,BR
2022-06-29,BS001892,3,DK
2022-06-29,BS001884,3,BR
2022-06-29,BS001901,3,DK
2022-06-29,BS001901,3,BR
2022-06-29,BS001881,1,DK
2022-06-29,BS001883,5,BR
2022-06-29,BS001890,4,DK
2022-06-29,BS001892,1,BR
2022-06-29,BS001899,1,DK
2022-06-29,BS001893,3,BR
2022-06-29,BS001887,2,DK
2022-06-29,BS001881,3,BR
2022-06-29,BS001878,3,DK
2022-06-29,BS001895,2,BR
2022-06-29,BS001886,1,DK
2022-06-29,BS001878,5,BR
2022-06-29,BS001900,2,DK
2022-06-29,BS001894,4,BR
2022-06-29,BS001888,3,DK
2022-06-29,BS001875,1,BR
2022-06-29,BS001873,4,DK
2022-06-29,BS001876,1,BR
2022-06-29,BS001894,1,DK
2022-06-29,BS001882,5,BR
2022-06-29,BS001881,2,DK
2022-06-29,BS001874,4,BR
2022-06-29,BS001877,3,DK
2022-06-29,BS001899,4,BR
2022-06-29,BS001884,2,DK
2022-06-29,BS001899,5,BR
2022-06-29,BS001881,2,DK
2022-06-29,BS001900,1,BR
2022-06-29,BS001898,2,DK
2022-06-29,BS001901,3,BR
2022-06-29,BS001880,4,DK
2022-06-29,BS001890,1,BR
2022-06-29,BS001889,1,DK
2022-06-29,BS001873,2,BR
2022-06-29,BS001898,1,DK
2022-06-29,BS001888,5,BR
2022-06-29,BS001876,4,DK
2022-06-29,BS001898,1,BR
2022-06-29,BS001885,2,DK
2022-06-29,BS001900,1,BR
2022-06-29,BS001879,1,DK
2022-06-29,BS001891,2,BR
2022-06-29,BS001876,1,FR
2022-06-29,BS001887,2,BR
2022-06-29,BS001880,4,FR
2022-06-29,BS001897,1,BR
2022-06-29,BS001873,1,FR
2022-06-29,BS001884,4,BR
2022-06-29,BS001891,1,FR
2022-06-29,BS001901,2,BR
2022-06-29,BS001892,1,FR
2022-06-29,BS001883,1,BR
2022-06-29,BS001880,2,FR
2022-06-29,BS001892,1,BR
2022-06-29,BS001878,4,FR
2022-06-29,BS001893,2,BR
2022-06-29,BS001895,1,FR
2022-06-29,BS001881,1,BR
2022-06-29,BS001899,2,FR
2022-06-29,BS001895,5,BR
2022-06-29,BS001882,5,FR
2022-06-29,BS001878,3,BR
2022-06-29,BS001881,1,FR
2022-06-29,BS001894,3,BR
2022-06-29,BS001878,5,FR
2022-06-29,BS001875,5,BR
2022-06-29,BS001901,1,FR
2022-06-29,BS001876,5,BR
2022-06-29,BS001880,2,FR
2022-06-29,BS001882,3,BR
2022-06-29,BS001874,4,FR
2022-06-29,BS001874,2,BR
2022-06-29,BS001883,4,FR
2022-06-29,BS001899,3,BR
2022-06-29,BS001882,5,FR
2022-06-29,BS001889,2,BR
2022-06-29,BS001901,3,FR
2022-06-29,BS001885,2,BR
2022-06-29,BS001877,2,FR
2022-06-29,BS001886,5,BR
2022-06-29,BS001887,1,FR
2022-06-29,BS001880,3,BR
2022-06-29,BS001890,3,FR
2022-06-29,BS001874,2,BR
2022-06-29,BS001896,3,FR
2022-06-29,BS001892,5,BR
2022-06-29,BS001876,1,FR
2022-06-29,BS001901,1,BR
2022-06-29,BS001893,3,FR
2022-06-29,BS001889,1,BR
2022-06-29,BS001884,5,FR
2022-06-29,BS001881,5,BR
2022-06-29,BS001877,3,FR
2022-06-29,BS001899,2,BR
2022-06-29,BS001891,1,FR
2022-06-29,BS001895,1,BR
2022-06-29,BS001891,4,FR
2022-06-29,BS001900,1,BR
2022-06-29,BS001893,3,FR
2022-06-29,BS001893,2,BR
2022-06-29,BS001883,5,FR
2022-06-29,BS001896,4,BR
2022-06-29,BS001898,3,FR
2022-06-29,BS001888,2,BR
2022-06-29,BS001888,1,FR
2022-06-29,BS001877,1,BR
2022-06-29,BS001889,5,FR
2022-06-29,BS001883,4,BR
2022-06-29,BS001875,4,FR
2022-06-29,BS001886,1,BR
2022-06-29,BS001881,2,FR
2022-06-29,BS001900,2,BR
2022-06-29,BS001901,5,FR
2022-06-29,BS001888,4,BR
2022-06-29,BS001883,1,FR
2022-06-29,BS001881,3,BR
2022-06-29,BS001876,4,FR
2022-06-29,BS001898,2,BR
2022-06-29,BS001885,3,FR
2022-06-29,BS001886,3,BR
2022-06-29,BS001894,4,FR
2022-06-29,BS001880,1,BR
2022-06-29,BS001874,1,FR
2022-06-29,BS001894,3,BR
2022-06-29,BS001883,4,FR
2022-06-29,BS001899,2,BR
2022-06-29,BS001892,5,FR
2022-06-29,BS001900,1,BR
2022-06-29,BS001901,3,FR
2022-06-29,BS001879,2,BR
2022-06-29,BS001884,2,FR
2022-06-29,BS001878,3,BR
2022-06-29,BS001875,5,FR
2022-06-29,BS001900,4,BR
2022-06-29,BS001874,2,FR
2022-06-29,BS001895,4,BR
2022-06-29,BS001896,5,FR
2022-06-29,BS001873,2,DK
2022-06-29,BS001885,3,FR
2022-06-29,BS001901,3,DK
2022-06-29,BS001890,2,FR
2022-06-29,BS001874,5,DK
2022-06-29,BS001889,5,FR
2022-06-29,BS001886,3,DK
2022-06-29,BS001891,4,FR
2022-06-29,BS001885,5,FR
2022-06-29,BS001879,5,FR
2022-06-29,BS001901,1,FR
2022-06-29,BS001892,1,FR
2022-06-29,BS001888,3,FR
2022-06-29,BS001874,3,FR
2022-06-29,BS001892,1,FR
2022-06-29,BS001894,4,FR
2022-06-29,BS001890,4,GE
2022-06-29,BS001888,2,FR
2022-06-29,BS001899,5,GE
2022-06-29,BS001899,5,FR
2022-06-29,BS001897,4,GE
2022-06-29,BS001875,3,FR
2022-06-29,BS001901,3,GE
2022-06-29,BS001888,1,FR
2022-06-29,BS001876,3,GE
2022-06-29,BS001887,3,FR
2022-06-29,BS001892,5,JP
2022-06-29,BS001874,5,FR
2022-06-29,BS001897,2,JP
2022-06-29,BS001881,5,FR
2022-06-29,BS001887,3,JP
2022-06-29,BS001883,3,GE
2022-06-29,BS001893,3,JP
2022-06-29,BS001890,2,GE
2022-06-29,BS001880,3,PT
2022-06-29,BS001880,5,GE
2022-06-29,BS001898,3,PT
2022-06-29,BS001897,5,GE
2022-06-29,BS001883,4,PT
2022-06-29,BS001887,5,GE
2022-06-29,BS001892,5,PT
2022-06-29,BS001883,3,GE
2022-06-29,BS001895,3,PT
2022-06-29,BS001885,2,GE
2022-06-29,BS001880,4,PT
2022-06-29,BS001886,4,GE
2022-06-29,BS001888,4,UK
2022-06-29,BS001895,2,GE
2022-06-29,BS001879,1,UK
2022-06-29,BS001897,1,GE
2022-06-29,BS001900,3,UK
2022-06-29,BS001889,3,GE
2022-06-29,BS001874,5,UK
2022-06-29,BS001877,2,GE
2022-06-29,BS001873,4,UK
2022-06-29,BS001876,5,GE
2022-06-29,BS001900,4,UK
2022-06-29,BS001893,4,GE
2022-06-29,BS001879,4,UK
2022-06-29,BS001881,1,GE
2022-06-29,BS001895,4,UK
2022-06-29,BS001876,3,GE
2022-06-29,BS001900,5,US
2022-06-29,BS001881,2,GE
2022-06-29,BS001878,4,US
